OBJECTID,Oceans,Regions,SubRegions,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Sediment Sample Depth (m),Sampling Method,Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,Latitude,Longitude,Date,Mesh Size (mm),Standardized Nurdle Amount,Water Sample Depth (m),GlobalID,x,y
14643,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0.433088,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Medium, 0.005-1 pieces/m3",71.5324,61.2997,9/20/2019,0.08,,3,1e6d86ed-3fc9-4098-92f0-114ff513b893,61.299722,71.532361
14695,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Intake seawater pump,,,,,1.858736,pieces/m3,10-Jan,High,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, High, 1-10 pieces/m3",71.72,61.5682,10/17/2019,0.08,,3,71692aa1-f82a-439f-be48-4168e3a09535,61.568175,71.720017
10936,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Neuston net,,,,,0.013499,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Medium, 0.005-1 pieces/m3",72.1558,63.1053,9/20/2019,0.2,,0.2,7f78c686-f3e0-4139-aade-2b43ed8147cc,63.105278,72.155833
14694,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0.951777,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Medium, 0.005-1 pieces/m3",72.5251,64.1342,10/17/2019,0.08,,3,982de375-bf7e-45d5-8b9f-fbbd4b3166d9,64.134225,72.525125
10937,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Neuston net,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",72.2147,63.2814,9/20/2019,0.2,,0.2,10bc52c5-0f9a-4ec7-8d65-d7ed3659cd9a,63.281389,72.214722
10975,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Neuston net,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",72.588,65.3704,10/17/2019,0.2,,0.2,032f33ea-9d06-462f-b046-88d46b060c46,65.37041,72.58803
14697,Arctic Ocean,Barentsz Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0.27465,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Medium, 0.005-1 pieces/m3",69.8217,50.7142,10/19/2019,0.08,,3,f668925e-02a0-428c-a69b-f9585e663b7b,50.714167,69.821667
14642,Arctic Ocean,Barentsz Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",70.3454,57.6046,9/19/2019,0.08,,3,dbde0ce5-9b34-493b-9859-2d6a757287bb,57.604583,70.345417
14696,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Intake seawater pump,,,,,1.731302,pieces/m3,10-Jan,High,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, High, 1-10 pieces/m3",70.7802,58.3867,10/18/2019,0.08,,3,4314315c-a46b-4c5c-9d1e-124172c77e6e,58.386717,70.780208
14641,Arctic Ocean,Barentsz Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0.319489,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Medium, 0.005-1 pieces/m3",69.8774,52.2471,9/18/2019,0.08,,3,c7eed88e-c30e-4eb6-9399-4be4ac8fe470,52.247083,69.877361
10935,Arctic Ocean,Barents Sea,,,,,Ocean water,,,Neuston net,,,,,0.0045,pieces/m3,0.0005-0.005,Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",69.8239,50.5553,9/18/2019,0.2,,0.2,c96ab6b2-bbc4-4451-9a9c-1c0a45a11122,50.555278,69.823889
10976,Arctic Ocean,Kara Sea,,,,,Ocean water,,,Neuston net,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",71.3828,61.1794,10/17/2019,0.2,,0.2,79b80921-2e8f-4e43-a39e-95f01141ef72,61.1794,71.3828
10978,Arctic Ocean,Barents Sea,,,,,Ocean water,,,Neuston net,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",68.5913,44.1215,10/19/2019,0.2,,0.2,04b2fa06-bf76-4ce6-9092-42daa7d7cff4,44.1215,68.5913
14698,Arctic Ocean,White Sea,,,,,Ocean water,,,Intake seawater pump,,,,,1.851852,pieces/m3,10-Jan,High,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, High, 1-10 pieces/m3",68.1683,43.2968,10/20/2019,0.08,,3,2a2a13c6-93ae-4474-b0ee-557d460c710b,43.296806,68.168333
10934,Arctic Ocean,Barents Sea,,,,,Ocean water,,,Neuston net,,,,,0.017999,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Medium, 0.005-1 pieces/m3",69.5586,47.7056,9/18/2019,0.2,,0.2,09428fea-c0d2-470d-9676-23ebbd5de3ac,47.705556,69.558611
14640,Arctic Ocean,Barentsz Sea,,,,,Ocean water,,,Intake seawater pump,,,,,0.643501,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, Medium, 0.005-1 pieces/m3",69.3724,46.5637,9/18/2019,0.08,,3,fbf0cd37-b8f1-404e-b360-93b427a538cd,46.56375,69.372361
14639,Arctic Ocean,White Sea,,,,,Ocean water,,,Intake seawater pump,,,,,1.873829,pieces/m3,10-Jan,High,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,277532,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277532,"Ocean Surface, High, 1-10 pieces/m3",66.8639,41.514,9/17/2019,0.08,,3,7c064d00-13c5-4f35-bbfe-bab38ef00644,41.514028,66.863889
10977,Arctic Ocean,Barents Sea,,,,,Ocean water,,,Neuston net,,,,,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",69.4582,49.2356,10/19/2019,0.2,,0.2,bd89ec9f-22c5-494b-af9c-0f8ff95abfa1,49.2356,69.4582
13647,Arctic Ocean,Norwegian Sea,,,,,Ocean water,,,Manta net,,,,,0.029488,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,"Ocean Surface, Medium, 0.005-1 pieces/m3",68.9414,15.367,8/22/2019,0.33,,0,939f3127-34b9-45a3-9a9c-dd1e23785dcd,15.367,68.941433
13724,Arctic Ocean,Norwegian Sea,,,,,Ocean water,,,Manta net,,,,,0.016713,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,"Ocean Surface, Medium, 0.005-1 pieces/m3",69.1403,17.698,6/29/2020,0.33,,0,5236641d-25f9-4ce6-af4d-b2275177c240,17.698,69.140333
